1782296681 kafka bench-brokers-2                             2326m   3827Mi   
1782296681 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296681 kafka latency-consumer-tncwh                      901m    236Mi    
1782296681 kafka producer-0-dvtbj                            347m    10Mi     
1782296681 kafka producer-1-5h7fd                            314m    10Mi     
1782296681 kafka producer-2-5rlgc                            362m    10Mi     
1782296681 kafka producer-3-gnvns                            320m    11Mi     
1782296681 kafka producer-4-nr4gx                            227m    10Mi     
1782296681 kafka producer-5-79h27                            238m    10Mi     
1782296681 kafka producer-6-pj9fd                            352m    10Mi     
1782296681 kafka producer-7-79bcw                            362m    9Mi      
1782296681 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      260Mi    
1782296688 spark rtm-bench-driver                             104m   784Mi    
1782296688 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   544m   2377Mi   
1782296688 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   507m   2398Mi   
1782296688 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   548m   2416Mi   
1782296688 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   862m   2395Mi   
1782296688 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296688 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296688 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296688 kafka bench-brokers-0                             2627m   3857Mi   
1782296688 kafka bench-brokers-1                             2344m   3891Mi   
1782296688 kafka bench-brokers-2                             2326m   3827Mi   
1782296688 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296688 kafka latency-consumer-tncwh                      901m    236Mi    
1782296688 kafka producer-0-dvtbj                            347m    10Mi     
1782296688 kafka producer-1-5h7fd                            314m    10Mi     
1782296688 kafka producer-2-5rlgc                            362m    10Mi     
1782296688 kafka producer-3-gnvns                            320m    11Mi     
1782296688 kafka producer-4-nr4gx                            227m    10Mi     
1782296688 kafka producer-5-79h27                            238m    10Mi     
1782296688 kafka producer-6-pj9fd                            352m    10Mi     
1782296688 kafka producer-7-79bcw                            362m    9Mi      
1782296688 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      260Mi    
1782296695 spark rtm-bench-driver                             89m    788Mi    
1782296695 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   493m   2381Mi   
1782296695 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   571m   2407Mi   
1782296695 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   548m   2416Mi   
1782296695 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   791m   2400Mi   
1782296695 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296695 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296695 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296695 kafka bench-brokers-0                             2670m   4013Mi   
1782296695 kafka bench-brokers-1                             2411m   3947Mi   
1782296695 kafka bench-brokers-2                             2294m   3944Mi   
1782296695 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296695 kafka latency-consumer-tncwh                      884m    272Mi    
1782296695 kafka producer-0-dvtbj                            348m    10Mi     
1782296695 kafka producer-1-5h7fd                            314m    10Mi     
1782296695 kafka producer-2-5rlgc                            359m    10Mi     
1782296695 kafka producer-3-gnvns                            318m    11Mi     
1782296695 kafka producer-4-nr4gx                            225m    10Mi     
1782296695 kafka producer-5-79h27                            236m    10Mi     
1782296695 kafka producer-6-pj9fd                            352m    10Mi     
1782296695 kafka producer-7-79bcw                            357m    9Mi      
1782296695 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      260Mi    
1782296702 spark rtm-bench-driver                             89m    788Mi    
1782296702 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   493m   2381Mi   
1782296702 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   571m   2407Mi   
1782296702 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   548m   2416Mi   
1782296702 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   791m   2400Mi   
1782296702 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296702 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296702 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296702 kafka bench-brokers-0                             2670m   4013Mi   
1782296702 kafka bench-brokers-1                             2411m   3947Mi   
1782296702 kafka bench-brokers-2                             2294m   3944Mi   
1782296702 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296702 kafka latency-consumer-tncwh                      884m    272Mi    
1782296702 kafka producer-0-dvtbj                            348m    10Mi     
1782296702 kafka producer-1-5h7fd                            314m    10Mi     
1782296702 kafka producer-2-5rlgc                            359m    10Mi     
1782296702 kafka producer-3-gnvns                            318m    11Mi     
1782296702 kafka producer-4-nr4gx                            225m    10Mi     
1782296702 kafka producer-5-79h27                            236m    10Mi     
1782296702 kafka producer-6-pj9fd                            352m    10Mi     
1782296702 kafka producer-7-79bcw                            357m    9Mi      
1782296702 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      260Mi    
1782296710 spark rtm-bench-driver                             94m    791Mi    
1782296710 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   488m   2380Mi   
1782296710 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   515m   2399Mi   
1782296710 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   528m   2408Mi   
1782296710 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   796m   2399Mi   
1782296710 spark spark-operator-controller-86d6fc858f-kcl26   2m     16Mi     
